Title,Price,Bedrooms,Location,URL,Apartment_Name
DT!,2025.0,2.0,9/292brDelaware Ave District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-terrific-views-from-the/7880190797.html,Unnamed - 9/292brDelaware Ave District-Close to Medical Campus and DT!
DT,950.0,,9/29Heart of Elmwood Village- Close to Area Colleges + DT,https://buffalo.craigslist.org/apa/d/buffalo-cozy-studio-at-ashland-apts/7876968459.html,Unnamed - 9/29Heart of Elmwood Village- Close to Area Colleges + DT
9/292br,1385.0,2.0,9/292br,https://buffalo.craigslist.org/apa/d/buffalo-remodeled-bedroom-apartment/7884980388.html,Unnamed - 9/292br
seneca,1950.0,4.0,9/294brWest seneca,https://buffalo.craigslist.org/apa/d/buffalo-hair-salon-for-rent-2000sq-ft/7883244961.html,Unnamed - 9/294brWest seneca
9/292brBuffalo,1500.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-bedroom-bathroom/7884135813.html,Unnamed - 9/292brBuffalo
St....,1625.0,2.0,9/292brHeart of Village of Williamsville! Steps to Main St....,https://buffalo.craigslist.org/apa/d/buffalo-wonderful-view-at-glen-park/7884968333.html,Unnamed - 9/292brHeart of Village of Williamsville! Steps to Main St....
Hertel,1500.0,3.0,9/293brBuffalo / Hertel,https://buffalo.craigslist.org/apa/d/buffalo-gem-with-parking-spacious/7880546812.html,Unnamed - 9/293brBuffalo / Hertel
NY,1228.0,2.0,"9/292br3100 9th St, Niagara Falls, NY",https://buffalo.craigslist.org/apa/d/niagara-falls-on-site-playgrounds/7884313984.html,"Apartment at 9/292br3100 9th St, Niagara Falls, NY"
9/292brBuffalo,1700.0,2.0,9/292brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-lovely-2bed-in-the-theatre/7883661159.html,Unnamed - 9/292brBuffalo
9/291brBuffalo,1199.0,1.0,9/291brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-1bed-1bath-close-to-elmwood-and/7879018767.html,Unnamed - 9/291brBuffalo
Seneca,1300.0,2.0,9/292brWest Seneca,https://buffalo.craigslist.org/apa/d/buffalo-west-seneca-arbor-meadows-br/7884939568.html,Unnamed - 9/292brWest Seneca
NY,1645.0,1.0,"9/291br224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-fully-applianced-kitchens/7884314595.html,"Apartment at 9/291br224 Niagara St, Buffalo, NY"
9/281br,1200.0,1.0,9/281br,https://buffalo.craigslist.org/apa/d/angola-42-main-st-unit/7884864396.html,Unnamed - 9/281br
Ave,1020.0,2.0,9/282br316 Potomac Ave,https://buffalo.craigslist.org/apa/d/buffalo-2br-ft2-bedroom-bathroom/7883655334.html,Apartment at 9/282br316 Potomac Ave
9/282brBuffalo,1000.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-upper-available-month/7883656252.html,Unnamed - 9/282brBuffalo
village,1100.0,1.0,9/281brElmwood village,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-apartment-in-elmwood/7878219849.html,Unnamed - 9/281brElmwood village
9/282brTonawanda/Amherst,1600.0,2.0,9/282brTonawanda/Amherst,https://buffalo.craigslist.org/apa/d/tonawanda-apartment-bedroom-lower/7878219831.html,Unnamed - 9/282brTonawanda/Amherst
Kenmore,1250.0,2.0,9/282brVillage of Kenmore,https://buffalo.craigslist.org/apa/d/buffalo-large-bedroom-upper-apt/7881533080.html,Unnamed - 9/282brVillage of Kenmore
9/281brDepew,1000.0,1.0,9/281brDepew,https://buffalo.craigslist.org/apa/d/depew-bedroom-and-studio-apartments/7883780296.html,Unnamed - 9/281brDepew
9/282brBuffalo,850.0,2.0,9/282brBuffalo,https://buffalo.craigslist.org/apa/d/buffalo-beautiful-two-bedroom-one/7884746404.html,Unnamed - 9/282brBuffalo
Lovejoy,1600.0,2.0,9/282brBuffalo Lovejoy,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-apartment/7882236813.html,Unnamed - 9/282brBuffalo Lovejoy
