Source,Title,Address,URL,Price,Beds,price_min,price_max,beds_min,beds_max
apartments.com,Kensington Village Apartments,"1 Oaks Ln, Buffalo, NY 14215",https://www.apartments.com/kensington-village-apartments-buffalo-ny/m01t3tl/,"$1,025 - $1,120",1-3 Beds,1025.0,1120.0,1.0,3.0
apartments.com,334-346 Bryant St,"334-346 Bryant St, Buffalo, NY 14222",https://www.apartments.com/334-346-bryant-st-buffalo-ny/cmrkvld/,"$2,257 - $2,332",2 Beds,2257.0,2332.0,2.0,2.0
apartments.com,211 Summer St,"211 Summer St, Buffalo, NY 14222",https://www.apartments.com/211-summer-st-buffalo-ny/qhez94z/,"$1,124 - $3,092",Studio - 2 Beds,1124.0,3092.0,0.0,2.0
apartments.com,Princeton Court Apartments,"165 Princeton Ave, Amherst, NY 14226",https://www.apartments.com/princeton-court-apartments-amherst-ny/hzbzxz2/,"$963 - $1,229",Studio - 2 Beds,963.0,1229.0,0.0,2.0
apartments.com,The Mentholatum,"1360 Niagara St, Buffalo, NY 14213",https://www.apartments.com/the-mentholatum-buffalo-ny/l19mfjg/,"$1,400 - $2,000",1-2 Beds,1400.0,2000.0,1.0,2.0
apartments.com,Kelsey Building,"262-266 Bryant St, Buffalo, NY 14222",https://www.apartments.com/kelsey-building-buffalo-ny/4n1p67j/,Call for Rent,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,Barton Apartments,"140 Hodge Ave, Buffalo, NY 14222",https://www.apartments.com/barton-apartments-buffalo-ny/t14gkr9/,"$2,586",2 Beds,2586.0,2586.0,2.0,2.0
apartments.com,494-498 Elmwood Ave,"494-498 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/494-498-elmwood-ave-buffalo-ny/qq8zwwy/,Call for Rent,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,The Residences at 471 Elmwood,"471 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/the-residences-at-471-elmwood-buffalo-ny/vsqp82g/,"$2,095 - $2,295",2 Beds,2095.0,2295.0,2.0,2.0
apartments.com,Annex Apartments,"245 Bryant St, Buffalo, NY 14222",https://www.apartments.com/annex-apartments-buffalo-ny/0fft821/,"$1,814 - $2,692",1-2 Beds,1814.0,2692.0,1.0,2.0
apartments.com,Spaulding Building I,"763-771 Main St, Buffalo, NY 14203",https://www.apartments.com/spaulding-building-i-buffalo-ny/cc1ewhf/,Call for Rent,Studio - 1 Bed,1375.0,1375.0,0.0,1.0
apartments.com,Meidenbauer House,"204 High St, Buffalo, NY 14204",https://www.apartments.com/meidenbauer-house-buffalo-ny/dlxjn7l/,"$1,900 - $2,900",1-2 Beds,1900.0,2900.0,1.0,2.0
apartments.com,Walcot Apartments at 257 Elmwood,"257 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/walcot-apartments-at-257-elmwood-buffalo-ny/phy8hjr/,"$1,699",1 Bed,1699.0,1699.0,1.0,1.0
apartments.com,The Sinclair,"465 Washington St, Buffalo, NY 14203",https://www.apartments.com/the-sinclair-buffalo-ny/v8v7tkd/,"$1,000 - $2,200",Studio - 2 Beds,1000.0,2200.0,0.0,2.0
apartments.com,Barcalo Living,"225 Louisiana St, Buffalo, NY 14204",https://www.apartments.com/barcalo-living-buffalo-ny/vhq442f/,"$1,535 - $3,070",1-3 Beds,1535.0,3070.0,1.0,3.0
apartments.com,25-47 Old Lyme Dr,"25-47 Old Lyme Dr, Buffalo, NY 14221",https://www.apartments.com/25-47-old-lyme-dr-buffalo-ny/ebrn2xn/,"$1,500",2 Beds,1500.0,1500.0,2.0,2.0
apartments.com,10 Lafayette Sq,"10 Lafayette Sq, Buffalo, NY 14203",https://www.apartments.com/10-lafayette-sq-buffalo-ny/kme0mf9/,"$1,750 - $1,900",1 Bed,1750.0,1900.0,1.0,1.0
apartments.com,669 Potomac Ave,"669 Potomac Ave, Buffalo, NY 14222",https://www.apartments.com/669-potomac-ave-buffalo-ny/b45n7c9/,"$1,100 - $1,200",1 Bed,1100.0,1200.0,1.0,1.0
apartments.com,220 Lexington Avenue Apartments,"220 Lexington Ave, Buffalo, NY 14222",https://www.apartments.com/220-lexington-avenue-apartments-buffalo-ny/48nn88j/,"$1,040 - $1,350",1 Bed,1040.0,1350.0,1.0,1.0
apartments.com,Pine Point Luxury Apartments,"1560-1590 Southwestern Blvd, Buffalo, NY 14224",https://www.apartments.com/pine-point-luxury-apartments-buffalo-ny/94n6p94/,"$1,895 - $2,050",2-3 Beds,1895.0,2050.0,2.0,3.0
apartments.com,Colonial Court Apartments,"5045 Berg Rd, Buffalo, NY 14218",https://www.apartments.com/colonial-court-apartments-buffalo-ny/nfgf1sn/,"$1,095",1-2 Beds,1095.0,1095.0,1.0,2.0
apartments.com,Delaware Franklin,"567 Delaware Ave, Buffalo, NY 14202",https://www.apartments.com/delaware-franklin-buffalo-ny/5ledhvp/,"$1,090 - $1,540",Studio - 2 Beds,1090.0,1540.0,0.0,2.0
apartments.com,Antrim Apartments,"6 Yale Pl, Buffalo, NY 14210",https://www.apartments.com/antrim-apartments-buffalo-ny/gpyndzw/,"$1,075 - $1,200",2 Beds,1075.0,1200.0,2.0,2.0
apartments.com,Willow Grove Apartments,"225 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/willow-grove-apartments-buffalo-ny/lef2nmg/,"$850 - $1,100",Studio - 1 Bed,850.0,1100.0,0.0,1.0
apartments.com,959 Ridge Rd,"959 Ridge Rd, Lackawanna, NY 14218",https://www.apartments.com/959-ridge-rd-lackawanna-ny/9y8v776/,"$2,000 - $2,200",2 Beds,2000.0,2200.0,2.0,2.0
